# Source: 2015 year from 2019 IEA energy balances
# Composite regions (Other Africa, Other Latin America, Other Asia) downscaled to the countries on the basis of population
# Middle East nations rail energy re-set from 0 to values shown assuming 2 tonnes of fuel per km of rail per year
iso,FLOW,PRODUCT,value
rwa,AVBUNK,Total,37.19
rwa,DOMESAIR,Total,4.92
rwa,ROAD,Total,260.4
rwa,RAIL,Total,2.79
rwa,DOMESNAV,Total,0.27
sau,MARBUNK,Total,3052
sau,AVBUNK,Total,2810
sau,DOMESAIR,Total,936
sau,ROAD,Total,46575
sau,RAIL,Total,3
sdn,MARBUNK,Total,26
sdn,AVBUNK,Total,174
sdn,DOMESAIR,Total,32
sdn,ROAD,Total,3200
sdn,RAIL,Total,23
sdn,DOMESNAV,Total,3
sen,MARBUNK,Total,124
sen,AVBUNK,Total,291
sen,DOMESAIR,Total,0
sen,ROAD,Total,843
sen,RAIL,Total,0
sen,DOMESNAV,Total,44
sgp,MARBUNK,Total,43484
sgp,AVBUNK,Total,7379
sgp,ROAD,Total,2312
sgp,RAIL,Total,210
sgp,DOMESNAV,Total,70
slb,MARBUNK,Total,3.12
slb,AVBUNK,Total,3.29
slb,DOMESAIR,Total,2.6
slb,ROAD,Total,42.07
slb,DOMESNAV,Total,2.56
sle,MARBUNK,Total,10.45
sle,AVBUNK,Total,23.46
sle,DOMESAIR,Total,3.11
sle,ROAD,Total,164.27
sle,RAIL,Total,1.76
sle,DOMESNAV,Total,0.17
slv,AVBUNK,Total,159
slv,ROAD,Total,1101
som,MARBUNK,Total,20.11
som,AVBUNK,Total,45.14
som,DOMESAIR,Total,5.97
som,ROAD,Total,316.02
som,RAIL,Total,3.39
som,DOMESNAV,Total,0.33
srb,AVBUNK,Total,4
srb,ROAD,Total,372
srb,RAIL,Total,2
srb,MARBUNK,Total,24
